ARO	ID	Name	NCBI
3002654	g251	APH(3')-VIIa	M29953
3002662	g252	APH(9)-Ia	U94857
3003069	g253	vanXYG	DQ212986
3001455	g254	OXA-150	GQ853681
3002032	g256	CMY-21	DQ139328
3003172	g257	ACT-37	KM926622
3001486	g258	OXA-208	FR853176
3000592	g260	ErmN	X97721.2
3002078	g261	CMY-65	JF780936
3002278	g262	VIM-8	AY524987
3002856	g263	dfrA24	AJ972619
3003206	g264	lsaE	AF408195.1
3001175	g265	SHV-128	GU932590
3002727	g266	QnrB13	EU273755
3001770	g267	OXA-43	AJ488303
3003097	g268	CfxA6	GQ342996
3002019	g269	CMY-8	AF167990
3002467	g270	LEN-20	AM850910
3002015	g271	CMY-4	Y15130
3002751	g272	QnrB36	JN173058
3002376	g273	VEB-7	FJ825622
3001658	g274	OXA-174	HM113560
3002435	g275	OKP-B-2	AM051151
3000958	g277	TEM-91	AB049569
3003095	g278	imiS	Y10415
3001967	g279	CTX-M-107	JF274244.1
3001874	g280	CTX-M-11	AY005110
3002071	g281	CMY-110	AB872957.1
3001984	g282	CTX-M-125	JQ724542
3002098	g283	CMY-85	KJ207202
3003055	g284	smeD	AJ252200
3000883	g285	TEM-11	AY874537
3001201	g286	SHV-162	JX121129
3000934	g287	TEM-67	AF091113
3002073	g288	CMY-60	JF460794
3001780	g289	OXA-85	AY227054
3002843	g290	vatD	AF368302
3002641	g291	APH(3')-Ia	BX664015.1
3000888	g292	TEM-17	Y14574
3001350	g293	SHV-180	KP050487.1
3003005	g294	CfxA4	AY769933
3001804	g295	OXA-145	FJ790516
3002293	g296	VIM-23	GQ242167
3002111	g297	CMY-98	KC603538
3002959	g298	vanYG1	DQ212986
3003553	g299	CepS	X80277
3002583	g300	AAC(6')-29a	NG_048575.1
3002108	g301	CMY-95	JX514369
3001384	g302	TEM-207	KC818234
3000593	g303	ErmQ	L22689
3002267	g304	IND-11	HM245379
3001302	g305	chrB	AY509120
3001090	g306	SHV-32	AY037778
3001960	g307	CTX-M-101	HQ398214
3002129	g308	CMY-118	KM087838
3002046	g309	CMY-35	EF394371
3001132	g310	SHV-78	AM176553
3002257	g311	IND-2	AF219127
3001467	g312	OXA-167	HM488988
3001654	g313	OXA-143	GQ861437
3001041	g314	TEM-176	GU550123
3002133	g315	DHA-2	AF259520
3001898	g316	CTX-M-36	AB177384
3001015	g317	TEM-148	AM087454
3001545	g318	OXA-358	KF421161
3001553	g319	OXA-366	KP050485
3001897	g321	CTX-M-35	AB176534
3000606	g322	FEZ-1	Y17896
3002609	g323	aadA9	DQ390458
3002767	g324	QnrB54	HE820727
3002470	g325	LEN-23	AM850913
3000805	g172	OprN	AE004091.2
3002701	g250	Rhodococcus_fascians_cmr	Z12001
3001493	g326	OXA-225	JN638887
3002346	g327	GES-17	HQ874631
3003167	g329	CTX-M-159	AB976602.1
3002217	g330	IMP-26	GU045307
3001032	g331	TEM-166	FJ197316
3003565	g332	R39	X53650
3003186	g333	CARB-23	CP007005
3003034	g334	mexX	AB015853
3003811	g337	adeC	CP013924.1
3002390	g338	OXY-1-2	AJ871865
3004866	g3664	NDM-23	MH450214.1
3002062	g340	CMY-51	JQ733571
3002192	g341	IMP-1	AJ223604
3003067	g342	smeS	AF173226
3001425	g343	OXA-31	AF294653
3003155	g344	SHV-188	LN515534
3002987	g345	bcrA	L20573
3002738	g346	QnrB23	FJ981622
3002409	g348	OXY-3-1	AF491278
3002910	g349	vanL	EU250284
3003064	g350	ykkD	AL009126
3001065	g351	SHV-6	Y11069
3002502	g352	PDC-5	FJ666068
3002715	g353	QnrB2	EF488762
3002739	g354	QnrB24	HM192542
3000873	g355	TEM-1	AL513383
3001305	g356	ErmU	X62867.1
3002308	g357	VIM-38	KC469971
3002757	g358	QnrB42	JN680743
3000975	g359	TEM-112	AY589493
3002569	g360	AAC(6')-Iy	AF144880
3001681	g361	OXA-278	KC771279
3002008	g362	CTX-M-151	AB916359
3001021	g363	TEM-155	DQ679961
3002096	g364	CMY-83	JX440351
3000984	g365	TEM-122	AY307100
3001887	g367	CTX-M-25	AF518567
3002252	g368	CARB-14	JQ364968
3001074	g369	SHV-15	AJ011428
3001067	g371	SHV-8	U92041
3003046	g372	qacA	AB566411
3002169	g373	MIR-3	AY743435
3001079	g374	SHV-21	AF117745
3001216	g375	mdtH	U00096
3002837	g376	lnuC	AY928180
3000026	g377	mepA	AY661734.1
3001391	g378	TEM-214	KP050491
3001453	g379	OXA-148	GQ853679
3002005	g380	CTX-M-147	KF513180
3002790	g381	QnrS1	DQ485529.1
3002774	g382	QnrB61	AB734053
3002637	g384	APH(2'')-IVa	AF016483
3001797	g385	OXA-46	JX131372
3002458	g386	LEN-8	CEGG01000030.1
3000792	g387	mdtA	U00096
3002783	g388	QnrB71	KC580660
3000194	g389	tetW	AJ222769.3
3002937	g390	vanSG	DQ212986
3002272	g391	VIM-2	EF614235
3000844	g392	TUS-1	AF441287
3002794	g393	QnrS5	HQ631377
3001651	g394	OXA-130	EU547445
3000413	g396	sul3	FJ196385
3001544	g397	OXA-357	KF421160
3000937	g398	TEM-71	AF203816
3002181	g399	MIR-16	KM087861
3002497	g400	PDC-1	FJ666065
3001843	g401	ACT-22	KF992027
3002863	g403	dfrA8	KJ174469
3001489	g404	OXA-217	JN603240
3001667	g405	OXA-202	HQ734813
3001818	g406	ACC-4	EF504260
3001539	g407	OXA-352	KF297581
3001566	g408	OXA-380	KF986261
3002927	g409	vanRL	EU250284
3002537	g410	AAC(3)-IIIb	LLLC01000048.1
3002725	g411	QnrB11	EF653270
3001442	g412	OXA-117	GQ423625.1
3002480	g413	OXA-144	FJ872530
3001563	g414	OXA-377	KF986258
3000903	g415	TEM-33	GU371926
3001788	g416	OXA-204	JQ809466
3002720	g417	QnrB6	EF520349
3001513	g418	OXA-325	KF203099
3003556	g419	SLB-1	AY590118
3001864	g420	CTX-M-1	X92506
3000874	g421	TEM-2	X54606
3002162	g422	FOX-10	JX049131
3002147	g423	DHA-16	KM087852
3001094	g424	SHV-36	AF467947
3001373	g425	TEM-182	HQ317449
3002627	g426	aadK	AL009126
3002520	g427	OCH-7	AJ295345
3002402	g428	OXY-2-7	Z49084
3000789	g429	mdsA	AE006468.2
3001704	g430	OXA-87	DQ348075
3001845	g433	ACT-25	KJ207208
3002464	g434	LEN-16	AY743416
3002426	g435	OKP-A-9	AM051148
3002410	g436	OXY-4-1	AY077481
3001123	g437	SHV-69	DQ174308
3002276	g438	VIM-6	AY165025
3001137	g439	SHV-83	AM176558
3001812	g441	OXA-54	AY500137
3000809	g442	OpmD	AE004091.2
3002443	g443	OKP-B-10	AM051160
3002591	g444	AAC(6')-Ib-Suzhou	EU085533
3000893	g445	TEM-22	Y17583
3002680	g446	catB8	AY123251.1
3001122	g447	SHV-67	DQ174307
3002868	g448	dfrG	AB205645
3001177	g449	SHV-133	AB551737
3001612	g450	OXA-51	AJ309734
3002483	g451	LRA-5	EU408358
3002801	g452	QnrVC4	GQ891757
3000812	g453	mtrE	X95635
3002314	g454	KPC-4	EU447304.1
3000368	g455	vanC	AF162694
3000553	g456	adeR	HM440348
3001628	g457	OXA-93	DQ519087
3001954	g459	CTX-M-94	HM167760
3002040	g460	CMY-29	EF685371
3001408	g461	OXA-13	U59183
3001892	g463	CTX-M-30	AY292654
3003182	g464	NDM-13	LC012596
3002941	g465	vanSO	KF478993
3001937	g466	CTX-M-76	AM982520
3002242	g467	CARB-3	S46063
3000392	g468	Erm(37)	AL123456
3001106	g469	SHV-49	AY528718
3001399	g470	OXA-4	JN129451
3001018	g471	TEM-151	DQ834729
3000990	g472	TEM-128	AY368237
3002866	g474	dfrD	U43152
3001637	g475	OXA-106	EF650032
3002983	g476	amrB	BX571965.1
3002686	g477	catP	U15027
3002533	g478	AAC(3)-IIa	X13543.1
3002220	g479	IMP-29	JQ041634
3002338	g480	GES-9	AY920928
3002300	g481	VIM-30	JN129451
3002454	g482	LEN-1	X04515
3002336	g483	GES-7	AY260546
3002764	g484	QnrB49	JQ582718
3001051	g485	TEM-191	KY432484.1
3000377	g440	MexA	AE004091.2
3000166	g458	tet(B)	AB089595
3000182	g402	tet(Y)	AF070999
3001299	g336	tlrB_conferring_tylosin_resistance	AF055922
3003479	g276	tetR	AL513383
3003562	g395	blaF	L25634
3003071	g473	mphF	AM260957.1
3002698	g486	cmlB	AF034958
3000535	g487	macB	AY768532
3001195	g488	SHV-156	JX121123
3001048	g490	TEM-188	JN211012
3002364	g491	PER-2	X93314
3000951	g493	TEM-84	AF427130
3002324	g494	KPC-14	JX524191
3002039	g495	CMY-28	EF561644
3002326	g496	KPC-16	KC465199
3001633	g497	OXA-79	EU019534
3002732	g498	QnrB17	AM919398
3002932	g499	vanSB	U35369
3001662	g500	OXA-164	GU831575
3002542	g501	AAC(3)-VIIIa	M55426
3002617	g502	aadA17	FJ460181
3001930	g503	CTX-M-69	EU402393
3000921	g504	TEM-52	Y13612
3002196	g506	IMP-5	AF290912
3003049	g507	rosB	U46859
3000180	g508	tetA(P)	L20800
3002155	g509	FOX-1	X77455
3001872	g510	CTX-M-9	AF174129
3003105	g511	dfrA3	J03306
3001943	g512	CTX-M-82	DQ256091
3003175	g513	CARB-19	KJ934267
3002460	g514	LEN-10	CBBA010000184.1
3004867	g3665	NDM-24	MH450215.1
3002789	g517	QnrD2	KJ158441
3002969	g518	vanXYN	JF802084
3002296	g519	VIM-26	FR748153
3000656	g520	AcrS	U00096
3001572	g521	OXA-386	KF986254
3001620	g523	OXA-75	CU468230.2
3003020	g524	dfrA25	DQ267940
3002024	g525	CMY-13	AY339625
3001822	g526	ACT-2	AM076977
3001096	g527	SHV-38	AY079099
3002521	g528	OCH-8	DQ489307
3003152	g529	SHV-185	KM233164
3002281	g530	VIM-11	AY605049
3001909	g532	CTX-M-47	AY847143
3002255	g533	CARB-16	HF953351
3000962	g536	TEM-95	AJ308558
3001672	g537	OXA-120	HE963768
3002772	g539	QnrB59	JX259320
3000254	g540	emrY	D78168
3000997	g541	TEM-133	AY528425
3000779	g542	adeH	CT025802.2
3000969	g543	TEM-106	AY101578
3002562	g544	AAC(6')-Is	AF031327
3002351	g545	GES-22	JX023441
3003202	g546	TLA-1	AF148067
3002850	g547	arr-5	EF660563
3002716	g548	QnrB3	DQ303920
3000970	g549	TEM-107	AY101764
3002084	g550	CMY-71	JQ711184
3001977	g551	CTX-M-117	JN227085
3002743	g552	QnrB28	HM439643
3002305	g553	VIM-35	JX982634
3001783	g554	OXA-163	HQ700343
3001702	g555	OXA-133	EU571228
3002956	g556	vanYB	U35369
3001068	g557	SHV-9	S82452
3003047	g558	qacB	AF535087
3002967	g559	vanXYE	FJ872411
3001622	g560	OXA-77	AY949202
3002441	g561	OKP-B-8	AM051157
3001047	g562	TEM-187	HM246246
3002439	g563	OKP-B-6	AM850917
3002213	g564	IMP-22	DQ361087
3001136	g565	SHV-82	AM176557
3001426	g566	OXA-32	AF315351
3001903	g567	CTX-M-41	DQ023162
3001882	g568	CTX-M-20	AJ416344
3001691	g569	OXA-228	JQ422053
3002814	g571	clbA	CP006845.1
3001767	g572	OXA-137	EU086834
3001765	g573	OXA-136	EU086830
3002545	g574	AAC(6')-Ia	M18967
3002530	g575	AAC(3)-Ib	L06157
3002170	g576	MIR-5	KP050484
3002777	g577	QnrB65	KC580654
3001070	g578	SHV-11	X98101
3002829	g579	vgaA	M90056.1
3000973	g580	TEM-110	AY072920
3002734	g581	QnrB19	JX298080
3002160	g582	FOX-7	AJ703795
3001338	g583	SHV-100	AM941846
3002618	g584	aadA21	AY171244
3002357	g585	NDM-7	JX262694
3002290	g586	VIM-20	GQ414736
3000939	g587	TEM-73	AJ012256
3002424	g588	OKP-A-7	AM051146
3001012	g589	TEM-145	DQ105528
3002262	g590	IND-6	AM087455
3001981	g591	CTX-M-122	JN790863
3002813	g592	lmrB	JYFL01000006.1
3000768	g593	abeS	CP001172.1
3002756	g594	QnrB41	JN166690
3001129	g595	SHV-75	AM176550
3002995	g596	ROB-1	X52872
3003014	g598	dfrA16	AF174129
3002420	g599	OKP-A-3	AM051140
3002013	g600	CMY-2	X91840
3003016	g601	dfrA20	AJ605332
3002286	g602	VIM-16	EU419746
3001329	g603	mdtG	CP000800.1
3001571	g604	OXA-385	KF986253
3001631	g605	OXA-96	DQ519090
3001859	g606	IMI-2	DQ173429
3001378	g607	TEM-201	JX310327
3001548	g608	OXA-361	KF460531
3000206	g609	emrK	D78168
3001192	g610	SHV-153	JX121120
3001516	g611	OXA-328	KF203102
3002506	g612	PDC-7	FJ666070
3002373	g613	VEB-4	EF136375
3003557	g614	SFB-1	AY590119
3001710	g615	OXA-211	JN861779
3002358	g616	NDM-8	AB744718
3001801	g617	OXA-147	FJ848783
3003551	g618	emeA	AB091338
3001088	g619	SHV-30	AY661885
3001793	g620	OXA-320	KF151169
3000498	g621	ErmF	M17124
3002136	g622	DHA-7	HQ456945
3001616	g623	OXA-68	AY750910
3002761	g625	QnrB46	HQ704413
3002943	g626	vanHB	U35369
3003110	g628	catB10	FJ495083.1
3002298	g629	VIM-28	JF900599
3000781	g630	adeJ	AY769962
3000892	g631	TEM-21	Y17582
3001542	g633	OXA-355	KF297584
3003057	g634	smeF	AJ252200
3001520	g635	OXA-332	KF203106
3001856	g636	CFE-1	AB107899
3002414	g637	OXY-6-2	AJ871875
3001827	g638	ACT-16	AB737978
3002245	g641	CARB-6	AF030945
3003197	g642	aadA25	CP003022
3002400	g643	OXY-2-5	AJ746227
3002396	g644	OXY-2-1	AJ871866
3000215	g645	mecR1	CP000703.1
3001536	g646	OXA-349	KF297578
3000956	g647	TEM-89	AY039040
3002333	g648	GES-4	AB116260
3001440	g649	OXA-115	EU029998
3002601	g650	aadA	AF550679.1
3002893	g652	tcr3	D38215
3002898	g531	SAT-3	Z48231
3000476	g640	tet(31)	AJ250203
3004254	g534	vanVB	AE016830
3003576	g516	eptA	AP009048
3002674	g492	Clostridium_butyricum_catB	M93113
3002541	g653	AAC(3)-VIIa	M22999
3002857	g654	dfrA26	AM403715
3001610	g655	OXA-243	JX206446
3001668	g656	OXA-219	JN215211
3001184	g657	SHV-142	JQ029959
3002116	g658	CMY-104	KF150216
3002584	g659	AAC(6')-29b	NG_048576.1
3002275	g661	VIM-5	AY144612
3001028	g662	TEM-162	EF468463
3003171	g663	ACT-36	KM926621
3002054	g664	CMY-43	FJ360626
3000882	g665	TEM-10	AF093512
3001896	g666	CTX-M-34	AY515297
3001821	g667	ACT-1	U58495
3001926	g668	CTX-M-65	EF418608
3002177	g669	MIR-12	KM087863
3002259	g670	IND-3	AF219131
3001994	g671	CTX-M-137	AB900900
3002038	g672	CMY-27	EU515250
3002239	g673	IMP-48	KM087857
3001410	g674	OXA-15	U63835
3001420	g675	OXA-25	AF201826
3002555	g676	AAC(6')-Ih	L29044
3001471	g677	OXA-171	HM488992
3002509	g678	PDC-10	FJ666073
3001157	g679	SHV-108	HM751100
3002065	g680	CMY-54	HM544039
3000982	g681	TEM-120	AY243512
3002793	g682	QnrS4	FJ418153
3002088	g683	CMY-75	JQ733572
3001095	g684	SHV-37	AF467948
3001498	g685	OXA-239	JQ837239
3001776	g686	OXA-162	HM015773
3002651	g687	APH(3')-Vc	S81599
3002183	g688	MOX-2	AJ276453
3001982	g689	CTX-M-123	JN790864
3001777	g690	OXA-347	JN086160
3002924	g691	vanRE	FJ872411
3001025	g692	TEM-159	EF136376
3001417	g693	OXA-22	AF064820
3001902	g694	CTX-M-40	AY750914.2
3002079	g695	CMY-66	JN714478
3003441	g696	cfrA	AM408573
3003106	g697	Erm(42)	FR734406
3001382	g698	TEM-205	KC900516
3002798	g699	QnrS9	KF732714
3001851	g700	ACT-31	KM087843
3001176	g701	SHV-129	GU827715
3001957	g702	CTX-M-98	HM755448
3002700	g703	cmlv	U09991
3002127	g705	CMY-116	KM087840
3002661	g706	APH(7'')-Ia	X03615
3000853	g707	AIM-1	AM998375
3001911	g708	CTX-M-49	AY847145
3001390	g709	TEM-213	KF663615
3003023	g710	dfrB6	GU060319
3001117	g711	SHV-62	AJ866285
3002675	g712	catB2	AY232670.1
3001942	g713	CTX-M-81	EU136031
3002864	g714	dfrB1	U36276.1
3002500	g715	PDC-3	FJ666066
3002747	g716	QnrB32	JN173054
3001959	g717	CTX-M-100	FR682582
3002487	g718	LRA-8	EU408349
3002044	g719	CMY-33	EU496816
3002877	g720	BcI	X06599
3001423	g721	OXA-28	AF231133
3002919	g722	vanRA	M97297
3001126	g723	SHV-72	AM176547
3002557	g724	AAC(6')-Ij	L29045
3002340	g725	GES-11	FJ854362
3000621	g726	PC1_beta-lactamase_(blaZ)	CP000732.1
3001304	g727	ErmS	M19269
3001052	g728	TEM-192	JF949915
3001871	g729	CTX-M-8	AF189721
3002596	g730	AAC(6')-IIc	AF162771
3002202	g731	IMP-11	AB074436
3001678	g732	OXA-237	JQ820241
3004868	g3666	NDM-25	MH986670.1
3002970	g734	vanTC	AF162694
3000900	g735	TEM-30	AJ437107
3002852	g736	arr-7	FN397623
3002573	g738	AAC(6')-Iae	AB104852
3002492	g739	LRA-18	EU408355
3002736	g740	QnrB21	FJ611948
3003001	g741	CfxA	U38243
3002529	g742	AAC(3)-Id	AY458224
3002848	g743	arr-3	EU675686
3002938	g744	vanSL	EU250284
3002051	g745	CMY-40	EU515251
3002524	g746	AAC(2')-Ib	U41471
3002710	g747	QnrA4	DQ058662
3000784	g748	cmeB	CP000768
3001149	g749	SHV-97	EF373973
3001356	g750	SHV-172	KF513177
3001394	g751	TEM-217	HG934763
3002928	g752	vanRM	FJ349556
3000854	g753	SMB-1	AB636283
3001910	g754	CTX-M-48	AY847144
3002319	g755	KPC-9	FJ624872
3002093	g757	CMY-80	JQ733577
3001805	g758	OXA-198	HQ634775
3002515	g759	OCH-2	AJ295340
3000878	g760	TEM-6	X57972
3002342	g761	GES-13	GU169702
3001917	g762	CTX-M-55	DQ885477
3002683	g763	catI	V00622
3002156	g764	FOX-2	Y10282
3002721	g765	QnrB7	EU043311
3001151	g766	SHV-102	EU024485
3001485	g767	OXA-207	JQ838185
3001101	g768	SHV-43	AY065991
3002321	g769	KPC-11	HM066995
3001113	g770	SHV-57	AY223863
3002035	g771	CMY-24	EF415650
3002476	g772	LEN-6	AY265890
3002517	g773	OCH-4	AJ295342
3002871	g774	tet37	AF540889
3002124	g775	CMY-113	KM087836
3000205	g776	tetX	M37699
3000589	g783	NDM-1	FN396876
3002216	g778	IMP-25	EU541448
3001537	g779	OXA-350	KF297579
3002248	g780	CARB-9	AY248038
3002740	g781	QnrB25	HQ172108
3001764	g782	OXA-63	AY619003
3002566	g784	AAC(6')-Iv	AF031330
3002404	g785	OXY-2-9	FJ785625
3002948	g786	vanHO	KF478993
3003019	g787	dfrA23	AJ746361
3001104	g788	SHV-46	AY210887
3002234	g789	IMP-43	AB777500
3002043	g790	CMY-32	EU496815
3001073	g791	SHV-14	AF226622
3002389	g792	OXY-1-1	Z30177
3002225	g793	IMP-34	AB715422
3001512	g795	OXA-324	KF203098
3002884	g796	iri	U56415
3000924	g797	TEM-55	DQ286729
3000785	g798	cmeC	AB894099
